RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
8119,15720203,Arcuri,577,Spain,Male,28,7,0,1,1,0,143274.41
8120,15586236,Banks,704,France,Male,31,5,132084.66,3,1,1,54474.48
8121,15676645,Parry,523,France,Male,45,5,0,2,1,1,121428.2
8122,15715988,Cockett,793,France,Male,35,2,0,2,1,1,79704.12
8123,15603749,Galkina,564,France,Female,53,2,45472.28,1,1,1,41055.71
8124,15608956,Su,711,France,Male,33,1,0,1,0,0,41590.4
8125,15733872,Marino,791,Germany,Female,33,10,130229.71,2,0,0,54019.93
8126,15666982,Spears,629,Germany,Female,38,9,123948.85,1,1,0,76053.07
8127,15602647,Cunningham,729,Germany,Male,39,6,127415.85,1,1,1,184977.2
8128,15623063,Taylor,651,Germany,Male,35,8,110067.71,1,1,0,127678.95
8129,15682928,Chiazagomekpere,695,Spain,Male,39,4,65521.2,1,1,1,1243.97
8130,15729246,Hardacre,847,Spain,Male,31,5,0,2,1,1,76326.67
8131,15588928,Maslow,704,France,Male,47,5,0,2,1,1,145338.61
8132,15803352,Scott,613,Germany,Male,33,3,155736.42,2,1,1,57751.21
8133,15607485,Wakelin,692,Spain,Female,29,4,0,2,0,0,138880.24
8134,15656249,Esposito,720,France,Female,34,3,118307.57,2,1,1,136120.29
8135,15761783,Shah,577,France,Male,41,6,0,1,1,1,167621.18
8136,15716605,Chukwufumnanya,710,Germany,Female,24,7,103099.17,2,1,0,173276.62
8137,15757425,Fleming,716,France,Female,38,1,0,2,1,1,99661.46
8138,15603096,Lori,410,France,Male,33,6,125789.69,1,0,0,66333.56
8139,15588580,Kennedy,584,Germany,Female,36,4,109646.83,1,1,1,70240.79
8140,15770539,Walters,792,France,Male,30,1,127187.86,1,1,1,113553.42
8141,15572022,Han,605,France,Female,36,6,0,1,0,1,690.84
8142,15571843,Lawrence,486,Spain,Male,24,1,0,1,1,0,98802.76
8143,15752502,Cooke,615,France,Male,41,4,130385.82,1,0,1,130661.95
8144,15609058,Wan,676,France,Male,23,1,107787.47,1,0,1,116378.82
8145,15775108,Lo Duca,571,France,Male,34,1,99325.04,2,0,1,186052.15
8146,15708904,Yermakova,850,France,Female,37,9,0,1,0,0,100101.06
8147,15600086,Combs,717,France,Male,48,7,123764.95,1,1,1,169952.82
8148,15814675,Chien,642,Germany,Female,39,8,128264.03,1,1,0,61792.76
8149,15572777,Meng,780,Spain,Male,47,7,86006.21,1,1,1,37973.13
8150,15585106,Calabresi,492,Germany,Female,38,8,57068.43,2,1,0,188974.81
8151,15738936,Stevenson,760,Germany,Male,29,5,103607.24,2,0,1,86334.64
8152,15750970,Davidson,500,Spain,Male,40,1,99004.24,1,1,1,152845.99
8153,15725772,Ch'in,654,Spain,Female,36,2,0,2,1,1,146652.11
8154,15692106,Rose,606,Spain,Female,25,3,147386.72,3,1,0,45482.04
8155,15791533,Ch'ien,367,Spain,Male,42,6,93608.28,1,1,0,168816.73
8156,15715715,Artyomova,799,Spain,Male,38,2,0,2,1,1,59297.34
8157,15785576,Mayrhofer,434,Germany,Male,71,9,119496.87,1,1,0,125848.88
8158,15798834,Yefremov,719,Spain,Female,32,7,0,1,0,0,76264.27
8159,15744127,Kosovich,641,France,Female,37,2,0,2,1,0,3939.87
8160,15637427,Lu,461,Spain,Female,25,6,0,2,1,1,15306.29
8161,15576990,Taplin,790,Germany,Female,25,5,152885.77,1,1,0,58214.79
8162,15615352,Ebelechukwu,588,France,Male,31,4,99607.37,2,0,1,35877.03
8163,15647333,Fleming,621,France,Male,27,4,137003.68,1,1,0,21254.06
8164,15572050,Yefimov,768,Germany,Male,48,3,122831.58,1,1,1,24533.89
8165,15581370,Andreyeva,681,Spain,Male,38,2,99811.44,2,1,0,23531.5
8166,15813503,Pickering,606,Spain,Male,37,8,154712.58,2,1,0,89099.18
8167,15769783,Allan,542,Spain,Male,37,8,0,1,1,1,807.06
8168,15793135,Wang,713,Germany,Female,24,7,147687.24,1,1,1,121592.5
8169,15599182,Reynolds,597,Spain,Female,33,2,0,2,1,1,4700.66
8170,15689517,Hales,635,France,Male,27,3,127009.83,1,1,0,161909.95
8171,15641366,Y?an,599,Germany,Male,61,1,124737.96,1,0,1,90389.61
8172,15588859,Rowley,496,Spain,Female,44,0,179356.28,2,1,0,2919.21
8173,15732293,Chia,759,Spain,Male,31,8,0,2,1,1,99086.74
8174,15568032,Moore,757,Germany,Male,31,1,127320.36,3,1,0,163170.32
8175,15623525,Copeland,564,Spain,Male,31,0,125175.58,1,1,1,72757.33
8176,15606601,Rishel,561,France,Female,22,6,186788.96,2,1,0,73286.8
8177,15800811,Wan,702,France,Male,40,3,148556.74,1,0,1,146056.29
8178,15610711,Eluemuno,678,Germany,Female,40,8,128644.46,1,0,0,167673.37
8179,15809654,Hsia,707,France,Female,46,7,127476.73,2,1,1,146011.55
8180,15576077,Kelly,610,France,Female,27,9,159561.93,1,0,1,103381.47
8181,15643378,Muir,744,France,Male,42,1,112419.92,1,1,1,83022.92
8182,15566790,McIntyre,598,France,Male,28,8,129991.76,2,0,1,46041.08
8183,15774402,Donaldson,562,Spain,Male,36,5,0,1,0,1,182843.24
8184,15694641,Wright,621,Spain,Female,59,2,0,2,1,1,171364.18
8185,15605916,Uvarova,659,France,Female,50,3,0,1,1,0,183399.12
8186,15812356,Doherty,722,Germany,Female,40,6,89175.06,2,0,1,152883.95
8187,15644179,Allen,606,France,Female,39,3,0,2,1,0,50560.45
8188,15771674,Ma,603,Spain,Female,39,5,162390.52,2,1,0,54702.66
8189,15623314,Tucker,506,Germany,Female,59,3,190353.08,1,1,0,78365.75
8190,15613292,Ch'eng,715,France,Male,21,8,0,2,1,0,68666.63
8191,15813871,Hs?,690,France,Male,47,2,0,2,1,0,151375.73
8192,15759480,H?,644,France,Female,40,10,139180.97,1,1,1,19959.67
8193,15587712,Chimaijem,589,France,Male,36,8,114435.47,1,1,0,26955.72
8194,15671165,Esomchi,592,France,Female,66,5,149950.19,1,1,1,76267.59
8195,15620746,Lorenzo,632,France,Male,42,4,126115.6,1,1,0,100998.5
8196,15706537,Pirogov,577,Germany,Female,59,7,111396.97,1,0,1,191070.01
8197,15589312,Larkin,588,France,Male,30,3,115007.08,1,0,0,176858.5
8198,15741180,Eddy,617,France,Male,54,6,102141.9,1,1,1,45325.26
8199,15733888,Sells,668,Spain,Female,36,3,133686.52,1,1,0,190958.48
8200,15798532,Crawford,810,France,Male,32,9,120879.73,2,0,1,78896.59
8201,15577359,Bezrukov,767,Spain,Male,47,5,0,1,1,0,121964.46
8202,15614936,Mancini,718,Spain,Female,49,10,82321.88,1,0,1,11144.4
8203,15747647,Iadanza,589,Spain,Female,27,4,0,2,1,0,144181.48
8204,15588566,Wilkinson,778,Spain,Male,33,5,116474.28,2,1,1,32757.55
8205,15570141,P'eng,724,France,Female,34,3,132352.69,1,1,0,80320.3
8206,15800793,St Clair,477,Germany,Female,39,4,182491.57,1,1,0,185830.72
8207,15572415,Preston,580,France,Male,34,6,0,2,1,1,160095.31
8208,15635125,Findlay,566,Spain,Male,63,2,120787.18,2,1,1,52198.84
8209,15636551,Nixon,711,France,Female,29,3,130181.47,2,1,0,31811.44
8210,15600912,Gorshkov,706,Germany,Male,32,5,88348.43,2,1,1,104181.78
8211,15768476,Chukwubuikem,703,Spain,Male,31,6,0,2,1,1,67667.19
8212,15650266,Medvedeva,679,Germany,Male,39,2,146186.28,2,1,1,193974.47
8213,15621004,Chukwuhaenye,603,France,Male,32,7,0,1,1,0,198055.94
8214,15748352,Endrizzi,598,Spain,Male,34,0,104488.17,1,0,1,43249.67
8215,15788920,Ch'ang,836,Germany,Female,32,4,109196.67,2,1,0,55218.02
8216,15743236,Piccio,687,France,Female,61,7,80538.56,1,1,0,131305.37
8217,15637717,Lockington,704,Germany,Male,41,4,109026.8,2,1,1,43117.1
8218,15635500,Seleznyov,605,Germany,Male,75,2,61319.63,1,0,1,186655.11
8219,15634792,Weston,516,France,Female,40,9,0,2,0,1,33266.29
8220,15607560,Groom,572,France,Female,39,2,0,2,1,1,555.28
8221,15727177,Manfrin,557,France,Male,42,6,177822.03,1,1,0,150944.31
8222,15774358,Robertson,443,Germany,Male,59,4,110939.3,1,1,0,72846.58
8223,15791304,Ch'ang,604,Germany,Male,25,7,165413.43,1,1,1,35279.74
8224,15603328,Lucchesi,483,France,Male,27,1,77805.66,1,1,1,2101.89
8225,15804937,Cambage,702,France,Male,50,3,0,2,0,0,94949.84
8226,15804142,Tan,670,Spain,Female,57,3,175575.95,2,1,0,99061.75
8227,15608845,Tao,804,Spain,Female,38,3,124197.22,1,1,0,74692.06
8228,15702434,Hsieh,850,France,Female,30,3,0,2,1,0,116692.8
8229,15632609,Burdekin,554,France,Female,39,10,160132.75,1,1,0,32824.15
8230,15603550,Longo,588,Germany,Female,37,7,70258.88,2,1,0,139607.61
8231,15755239,Maughan,758,Germany,Male,32,4,162657.64,2,1,1,115525.13
8232,15670528,Franz,787,Germany,Male,43,0,132217.45,1,1,0,20955.03
8233,15732704,Piazza,582,Spain,Male,25,9,148042.97,2,1,0,52341.15
8234,15589019,Morant,633,Spain,Female,33,4,92855.02,1,1,1,159813.18
8235,15677796,Becher,766,Germany,Male,47,9,129289.98,1,1,0,169935.46
8236,15760177,Lombardi,564,Spain,Male,37,9,100252.18,1,1,1,146033.52
8237,15636595,Loton,602,Spain,Male,37,3,107592.89,2,0,1,153122.73
8238,15737275,Conti,649,France,Male,39,3,113096.41,1,1,1,60335.24
8239,15672905,Sani,679,Spain,Female,40,7,0,2,1,1,163757.29
8240,15753955,Lori,639,Spain,Male,34,7,149940.04,2,0,0,156648.81
8241,15708504,Wong,790,Germany,Male,50,8,121438.58,1,1,1,176471.78
8242,15592451,Lombardi,565,France,Male,32,9,0,2,1,0,5388.3
8243,15790455,Obialo,478,France,Female,50,2,0,1,0,1,93332.64
8244,15572174,Mazzi,825,France,Male,29,3,148874.01,2,0,1,71192.82
8245,15656330,Von Doussa,528,Spain,Female,32,0,68138.37,1,1,1,170309.19
8246,15569626,Miller,577,Spain,Male,35,5,110080.3,1,1,1,109794.31
8247,15608726,Miracle,663,France,Male,24,7,0,2,1,1,166310.82
8248,15637366,Su,505,Germany,Female,25,5,114268.85,2,1,1,126728.27
8249,15778049,Wyatt,633,Germany,Male,29,6,117412.35,1,0,0,30338.94
8250,15727421,Anayolisa,586,France,Female,38,6,0,2,1,1,37935.83
8251,15688865,Wade,850,France,Female,35,9,0,2,0,0,25329.48
8252,15751032,Enemuo,629,Germany,Female,37,1,35549.81,2,0,0,49676.33
8253,15734737,Bruno,744,France,Male,56,9,0,2,1,1,169498.61
8254,15746515,Greece,750,France,Male,36,7,136492.92,3,1,1,26500.29
8255,15664311,Yang,637,Germany,Male,28,3,123675.69,1,1,1,166458.41
8256,15708139,Brown,575,France,Female,40,1,139532.34,1,1,0,181294.39
8257,15768574,Anderson,671,Spain,Male,58,1,178713.98,1,1,1,21768.21
8258,15738018,Johnston,571,France,Male,40,5,0,2,0,0,72849.29
8259,15699753,Zakharov,590,France,Male,41,1,89086.31,1,1,0,24499.97
8260,15703199,Golibe,619,Spain,Male,38,3,96143.47,1,0,0,98994.92
8261,15627830,Nikitina,640,Germany,Female,30,5,32197.64,1,0,1,141446.01
8262,15570855,Leonard,670,France,Male,38,7,0,2,1,1,77864.41
8263,15772503,Burns,737,France,Female,33,4,0,2,1,0,115115.32
8264,15584453,Burtch,555,Spain,Male,32,10,0,2,0,1,168605.96
8265,15710111,Clark,742,France,Male,33,6,0,2,0,0,38550.4
8266,15618562,Woodward,618,Germany,Female,40,0,140306.38,1,1,0,160618.61
8267,15706764,Spencer,560,France,Female,35,1,0,2,1,0,3701.63
8268,15798737,Chao,654,France,Male,38,8,0,2,1,0,88659.44
8269,15712608,Costa,787,Germany,Female,42,2,74483.97,2,0,1,44273.91
8270,15636736,McLachlan,611,France,Female,53,7,0,2,0,1,156495.39
8271,15703544,Hung,559,Spain,Male,34,0,0,1,1,0,182988.94
8272,15815645,Akhtar,481,France,Male,37,8,152303.66,2,1,1,175082.2
8273,15705739,Toscani,753,Germany,Male,32,5,159904.79,1,1,0,148811.14
8274,15709643,Gray,675,France,Male,32,1,0,3,1,0,85901.09
8275,15669805,Warren,748,Germany,Female,31,1,99557.94,1,1,0,199255.32
8276,15737489,Ramsden,610,Spain,Female,46,5,116886.59,1,0,0,107973.44
8277,15775131,Bartlett,580,Spain,Male,32,9,142188.2,2,0,1,128028.6
8278,15765283,Wenz,624,Germany,Female,40,3,149961.99,2,1,0,104610.86
8279,15628715,Kisch,709,France,Female,36,8,0,2,1,1,69676.55
8280,15813283,Mai,605,France,Female,34,2,0,1,0,0,35982.42
8281,15745716,McGregor,706,Spain,Male,53,7,0,2,0,1,117939.17
8282,15598485,Pinto,567,Spain,Male,40,8,28649.64,1,1,1,95140.62
8283,15696552,Newman,747,France,Female,21,4,81025.6,2,1,0,167682.57
8284,15754569,Pagnotto,664,France,Male,57,1,0,2,1,1,56562.57
8285,15701741,Williams,711,France,Female,39,3,152462.79,1,1,0,90305.97
8286,15572631,Ndubuisi,609,France,Male,25,10,0,1,0,1,109895.16
8287,15636069,Plummer,632,Spain,Male,28,7,155519.59,1,1,0,1843.24
8288,15682467,Chimezie,725,France,Female,36,1,118851.05,1,1,1,102747.02
8289,15790744,Nash,850,France,Female,34,9,92899.27,2,1,0,97465.89
8290,15625023,Onochie,682,France,Male,40,4,0,1,0,1,105352.55
8291,15731267,Rizzo,797,France,Male,37,4,75263.7,1,1,0,85801.77
8292,15742879,Boni,668,Spain,Male,38,1,147904.31,1,1,1,69370.05
8293,15757015,Davies,783,Germany,Female,41,5,106640.5,1,1,0,176945.96
8294,15770711,Lu,766,Germany,Female,28,4,90696.78,1,0,1,21597.2
8295,15569430,Burrows,704,Spain,Female,36,2,175509.8,2,1,0,152039.67
8296,15617304,Ershova,722,France,Male,40,6,0,2,1,1,111893.09
8297,15704466,Udokamma,692,France,Female,34,7,0,2,1,0,195074.62
8298,15664681,Aitken,584,France,Female,35,2,114321.28,2,0,0,15959.01
8299,15605534,Turnbull,644,Germany,Female,51,4,95560.04,1,0,0,72628.84
8300,15792473,Reilly,598,Germany,Female,50,5,88379.81,3,0,1,64157.24
8301,15802625,Hardy,733,Germany,Male,48,7,85915.52,1,1,1,23860.5
8302,15766017,Brookman,615,Germany,Male,58,3,72309.3,1,1,1,85687.09
8303,15762172,Kerr,850,France,Female,39,2,0,2,1,0,179451.42
8304,15728333,McBurney,521,France,Male,43,8,0,1,1,1,93180.09
8305,15792868,Mickey,675,France,Male,69,1,0,2,1,0,157097.09
8306,15605698,Harrison,746,France,Male,58,3,0,3,1,1,80344.96
8307,15777060,Olszewski,770,France,Female,33,4,0,1,1,0,26080.54
8308,15626243,Chijioke,618,France,Male,30,3,133844.22,1,1,1,31406.93
8309,15719898,Young,556,France,Male,36,7,154872.08,2,1,1,32044.64
8310,15599976,Bellasis,749,France,Female,27,9,0,2,1,0,132734.87
8311,15752809,De Mestre,702,Spain,Male,43,6,116121.67,1,1,0,61602.42
8312,15589698,De Luca,555,Germany,Male,42,6,107104.5,1,1,1,41304.44
8313,15609977,Mundy,587,France,Male,47,6,71026.77,1,1,0,57962.41
8314,15750121,Tung,639,France,Male,38,3,0,1,1,0,42862.82
8315,15734177,Donahue,643,France,Male,33,4,0,2,1,1,152992.04
8316,15781347,Okagbue,600,France,Female,41,1,0,2,1,1,91193.65
8317,15592025,Nnaemeka,651,France,Male,53,7,0,2,1,1,130132.41
8318,15670163,Verjus,666,France,Female,27,4,0,2,0,0,88751.45
8319,15765402,H?,520,France,Female,39,6,145644.05,1,0,0,104118.93
8320,15624343,Napolitani,650,Spain,Female,50,7,129667.77,1,0,0,42028.16
8321,15602354,Ginikanwa,564,Germany,Male,33,3,109341.87,1,1,0,75632.78
8322,15579183,Spaull,586,France,Male,64,1,0,2,1,1,53710.23
8323,15584899,Siciliani,617,France,Female,35,5,0,2,0,1,13066.3
8324,15723658,Voronina,712,Spain,Female,30,6,0,2,1,0,152417.97
8325,15803965,Tang,654,France,Male,55,3,87485.67,1,1,1,3299.01
8326,15682489,Crumbley,605,France,Male,27,9,0,2,1,0,198091.81
8327,15813645,Hamilton,491,France,Female,36,0,53369.13,1,1,1,103934.12
8328,15766787,Piazza,707,France,Female,35,9,0,2,1,1,70403.65
8329,15687171,Birch,638,Spain,Male,34,5,146679.77,1,1,0,102179.86
8330,15690744,Custance,683,France,Male,43,2,112499.42,2,1,0,30375.18
8331,15707974,Anayochukwu,815,Spain,Female,38,2,48387,1,1,0,184796.84
8332,15673084,Galkin,645,Spain,Male,38,1,68079.8,1,0,1,166264.89
8333,15814772,Adams,645,Germany,Male,49,4,160133.88,1,0,1,88391.97
8334,15743709,Toomey,683,France,Male,30,4,66190.33,1,1,1,115186.97
8335,15610343,Marshall-Hall,705,France,Female,37,10,0,2,1,1,13935.53
8336,15737414,Shen,647,France,Male,35,4,123761.68,1,1,0,83910.4
8337,15788480,Pagnotto,786,Germany,Female,33,0,122325.58,1,0,0,34712.34
8338,15568519,Wood,534,France,Male,41,9,0,2,1,0,13871.34
8339,15792453,More,602,Spain,Female,42,1,138912.17,1,1,1,139494.75
8340,15658100,Piccio,695,France,Female,42,0,0,2,0,1,140724.64
8341,15695197,Tochukwu,553,Germany,Female,25,7,128524.19,2,1,0,20682.46
8342,15749807,Graham,516,Spain,Female,31,3,0,2,1,0,124202.26
8343,15773876,Tung,655,France,Female,34,3,0,2,1,0,159638.77
8344,15591698,P'eng,849,Germany,Female,49,9,132934.89,1,1,0,171056.65
8345,15712813,Nevzorova,520,Germany,Male,43,3,150805.17,3,0,1,25333.03
8346,15763898,Toscani,568,Spain,Female,46,3,0,2,1,1,29372.62
8347,15793324,McKenzie,695,Spain,Male,32,9,0,3,0,1,38533.79
8348,15757759,Okwuoma,807,Spain,Female,28,7,165969.26,3,1,0,156122.13
8349,15796230,Morley,642,Germany,Female,36,2,124495.98,3,1,1,57904.22
8350,15611729,Kerr,703,Germany,Male,39,1,141559.5,1,1,1,31257.1
8351,15709531,Harding,556,France,Male,38,2,114756.14,1,1,0,193214.05
8352,15650751,Butler,585,France,Female,30,6,0,2,1,1,137757.69
